,sberbank-ai/rugpt3large_based_on_gpt2,sberbank-ai/rugpt3medium_based_on_gpt2,sberbank-ai/rugpt3small_based_on_gpt2,sberbank-ai/rugpt2large
0,"Насыщенный интересный день. За любые дела надо браться с энтузиазмом.     14   Утром я проснулась в постели от шума. Открыв глаза, увидела, что мама сидит на стуле рядом со мной. В руках у неё был мой рюкзак, и она пыталась что-","Насыщенный интересный день. За любые дела не буду браться, пока не разберусь с ними.  — Я не могу, это очень сложно, — она покачала головой. — Не могу.  — Почему?  — Потому что я не умею.","Насыщенный интересный день. За любые дела в день, даже небольшие, надо платить.  — Какие еще дела?  — Я не знаю.  — Ничего не знаю. Напиши.  — Я не знаю.  — Хорошо",Насыщенный интересный день. За любые дела беритесь с огоньком! Юрий Викторович Фомин     Ю. Фомин  На любой работе можно сделать карьеру                      
1,"Насыщенный интересный день. За любые дела надо браться с удовольствием. В общем, день хороший.        24549475 cisy 2013-08-27 01:48:00 Эх, хорошо на море!  На море",Насыщенный интересный день. За любые дела надо отвечать.     10736157 karelmilitary 2016-06-29 14:56:00 Пожар на авиационном заводе в Карелии Оригинал взят у  в Пожар на авиационном заводе в,"Насыщенный интересный день. За любые дела, любые проблемы, любые вопросы. И вообще, все, что касается жизни, которая должна быть только для тебя.  Вот почему так много говорят о себе, но на самом деле все мы не такие!    И мы говорим не о",Насыщенный интересный день. За любые дела берусь с превеликим удовольствием Ирина Викторовна Мезенцева   Бизнес и жизнь Ирина Мезенцева – автор бестселлера «За любые дела берусь с превеликим удовольствием». Она рассказывает о
2,"Насыщенный интересный день. За любые дела буду браться с большим энтузиазмом. Не могу сказать, что очень доволен собой, но доволен тем, что делаю.  Впереди у меня 2 выходных дня.                  ",Насыщенный интересный день. За любые дела берутся с удовольствием   24701851 alexey-pichugin 2007-05-01 22:08:00 Окончание интервью с Борисом ПИШАНОМ.   247,Насыщенный интересный день. За любые дела и любую работу с удовольствием помогу.    14779553 dimetilami 2015-12-25 18:27:00 Вспоминая о старых добрых временах...    14779554,"Насыщенный интересный день. За любые дела беритесь, пока не поздно.     День пятый                                     "
3,"Будьте практичны. Этот день может быть самым продуктивным, если вы будете использовать его для того, чтобы изменить свое поведение. Если вы не будете лениться, то, в конце концов, сможете изменить себя.                ","Будьте практичны. Этот день может принести вам много неожиданностей, и не старайтесь их избежать.     5.03.2012               10.03.12        ","Будьте практичны. Этот день может значить вам, что вы можете стать профессиональным спортсменом.                                       ",Будьте практичны. Этот день может стать еще одним в череде ваших ошибок.     Семерка Червей      Деньги. Финансовое положение. Деньги   Деньги – символ успеха. Но в первую очередь для любого человека деньги – средство
4,"Будьте практичны. Этот день может быть самым необычным, если Вы будете следовать простым правилам, которые помогут Вам избежать разочарований и неприятностей, а также просто хорошо провести время. Если Вы хотите получать только приятные впечатления, то Ваш выбор - это отправиться в отпуск в теплую и приятную страну, где",Будьте практичны. Этот день может стать для вас самым тяжелым.                                             ,Будьте практичны. Этот день может оказаться для вас непростым.      Начало                                     ,"Будьте практичны. Этот день может стать для вас удачным, если вы будете стремиться к повышению эффективности своей работы.        Деньги и карьера   Деньги являются хорошей и важной темой для разговора сегодня. У вас может быть более чем 2 тысячи долларов в банке"
5,"Будьте практичны. Этот день может стать особенным.     Глава 10        Сон в эту ночь был тревожным.  Мне снилась моя семья.  Моя мама, отец, бабушка, дедушка, прадедушка,",Будьте практичны. Этот день может принести вам разочарование.     День 4                                        ,"Будьте практичны. Этот день может принести вам много радости, и все будет хорошо.                                         ",Будьте практичны. Этот день может изменить ваше будущее.       День 13                                       
6,"Благоприятный день. Если вы проявите инициативу, то сможете получить и материальное вознаграждение.  День неблагоприятен. Если у вас возникли проблемы, то они будут быстро разрешены. Вам не стоит принимать самостоятельных решений.  Неблагоприятный день. Не стоит проводить операции","Благоприятный день. Если вы проявите инициативу, то вскоре станете самой богатой женщиной в мире.  Новое знакомство. Если вы хотите узнать, кто из ваших знакомых обладает особыми способностями к магии, то следует обратить внимание на того, кто на вас воздействует.  Изменение","Благоприятный день. Если вы проявите инициативу, то вскоре увидите, что ваша жизнь изменится и вы станете более активными людьми.   В следующий раз, когда вы будете создавать благоприятные дни для своего будущего ребенка, вам следует не забывать, что вы сами — это те самые люди,","Благоприятный день. Если вы проявите инициативу, то это принесет удачу.       Любовь, семья     Возможны семейные торжества, свадьба, рождение ребенка. Возможно, вы будете на виду, поэтому старайтесь держаться в гуще событий. Время,"
7,"Благоприятный день. Если вы проявите инициативу и не будете лениться, то все задуманные дела свершатся в срок. День благоприятен для активной деятельности и творчества. Сны не несут в себе какого-либо пророчества, это всего лишь наше воображение, сны не сбываются и не","Благоприятный день. Если вы проявите инициативу, то на этот раз ваше поведение будет более взвешенным и рассудительным.     5   В середине дня вы можете почувствовать, что у вас есть какие-то проблемы, которые вам нужно решить. Возможно, вы недовольны","Благоприятный день. Если вы проявите инициативу, вы сможете привлечь к себе внимание и друзей.                                       ","Благоприятный день. Если вы проявите инициативу и будете действовать, то получите гораздо больше удовольствия от жизни.     Четверг                       "
8,"Благоприятный день. Если вы проявите инициативу, то можете рассчитывать на успех. Возможны ссоры, но они быстро разрешатся.  Сегодня вы будете не только счастливы, но и удачливы.  День не благоприятен для выполнения любых работ, связанных с огнем.   ","Благоприятный день. Если вы проявите инициативу и решитесь на что-то, то вас ожидает успех в делах, а также вы будете чувствовать себя легко и свободно.  Неблагоприятный день. Не стоит браться за дела, связанные с недвижимостью, так как в","Благоприятный день. Если вы проявите инициативу, проявите инициативу и инициативу, то в день рождения вы получите от своего имени и от имени своего окружения поддержку.                          ","Благоприятный день. Если вы проявите инициативу и начнете действовать, то добьетесь успеха.       Любовь, семья, дети                           "
9,"Ради достижения поставленных целей вы готовы на многое.  – Вы имеете в виду, что готовы убить?  – А вы думаете, я шучу? Вы согласны, что я готов был убить вашего отца?  – Нет, конечно.  – Тогда,","Ради достижения поставленных целей вы готовы поступиться даже жизнью. Ради достижения цели вы готовы пожертвовать всем, даже собственной жизнью. Ради достижения цели вы готовы на все.  Если вы способны подняться над обыденным и обыденными вещами, то вам нет необходимости брать на себя ответственность за свою жизнь. Вы можете","Ради достижения поставленных целей вы готовы идти на любые жертвы, любые лишения, любые лишения в ваших глазах, в глазах друзей и знакомых?                             Оригинал","Ради достижения поставленных целей вы готовы пожертвовать другими. Вы можете не соглашаться с людьми, которые не разделяют ваших убеждений, но вам нравится то, что они делают. Вы никогда не поступитесь принципами. Вы можете быть очень хорошим человеком и при этом быть очень плохим.  Внешность."
