,0,1
0,"Насыщенный интересный день. За любые дела – спасибо и «за животинки», и за расписку, и за костюмы, и за то, что в кармане не только «Сникерс» и «Виши», но и «Сникерс» с «Виши».  –  Не поймут – им и без того не по себе от того, что у них еще есть шанс. ","Насыщенный интересный день. За любые дела можно дать двадцать... за какие-то совершенно безумные деньги. И все это будет в первую очередь для меня.  – А потом?  – Потом будут другие.  Когда я проснулся утром, то понял, что у меня в руке уже лежит мой паспорт. И теперь у меня не было желания его брать.  Я взял его и с силой захлопнул за собой."
1,"Насыщенный интересный день. За любые дела — за все только плати. За все — я не возьму ни копейки.  Не хочется даже вспоминать о нем. Гораздо интереснее было бы пойти к нему в гости.  Он был такой добрый, такой прекрасный! Он всегда был добр ко мне. Он всегда был ко мне добр. Он всегда был ко мне добр. Он всегда был ко мне добр и","Насыщенный интересный день. За любые дела можешь получить и больше.  —  Ты просто мне завидуешь.  —  А ты завидуешь мне? — удивилась она, и по ее лицу вновь пробежала тень улыбки. — И не надо мне завидовать. Я сама знаю, что говорю.  —  Не говори, — попросила она, и в ее голосе послышались нотки раздражения. — Я хочу сказать, что ты — моя судьба."
2,"Насыщенный интересный день. За любые дела в его распоряжении всегда хоть какое-то время, но мог быть денежней. Он получал его даже бесплатно, но поскольку ни о чем другом он не думал, то в день выдачи денег всегда приходил в «Карс Беллидж» – даже к чужим друзьям.  В тот день, когда нам подали счет, мы были на полпути из «Карс Белли","Насыщенный интересный день. За любые дела я готов заплатить. А за каждый свой поступок – так хоть немного отплачим. Но вот о чем?  –  А почему ты не хочешь рассказать нам?  –  Тише, тише, – успокаивающе сказал я.  –  Ты хочешь сказать, что мы не сможем этого сделать? – спросила она.  –  Боюсь, что нет.  –  Но почему? Почему?  – "
3,"Будьте практичны. Этот день может показаться вам необычным и даже запоминающимся для вас. Вы хотите понять, почему события развиваются именно так, а не иначе. Вы хотите увидеть в происходящем нечто такое, что помогло бы вам понять человека, найти какие-то новые качества. Вы хотите сделать что-то хорошее для других. Вы хотите сделать что-то хорошее, чтобы быть счастливым. Вы хотите быть счастливым. Вы хотите быть счастливыми, потому что","Будьте практичны. Этот день может стать для семьи очень удачным.  —  Почему же? — удивилась я.  —  Потому что у меня уже есть повод для таких разговоров! Тем более что мама всегда права и права! Поэтому вы должны радоваться, что у вас есть повод для радостных разговоров!  —  Правда? — обрадовалась я. — Ну, тогда очень хорошо.  На этот раз у меня"
4,"Будьте практичны. Этот день может стать вашим последним днем.   Глава 3  Направляйте свое сердце к себе   Каждая из двух женщин должна направить свое сердце к своему мужчине.      Чарльз Диккенс   С точки зрения психологии, каждая из них должна иметь своего мужчину.      Чарлз Диккенс  Не стоит играть с чувствами в пря","Будьте практичны. Этот день может быть использован для того, чтобы представить нам хоть какие-то доказательства, противоречащие нашим собственным суждениям и ожиданиям.  В это время в доме генерала появляется новый гость, но он уже не тот, что на предыдущем свидании. Он — тот самый «дьявол в облике льва», который напал на его след в лесу и выследил его во время бегства"
5,"Будьте практичны. Этот день может оказаться самым скучным.   –  Я оплачу вам билеты.  –  Вы уверены, что хотите этого?  –  Уверена.  –  Тогда я пришлю вам билеты.  –  Хорошо, я пришлю.  Она нажала на кнопку, и на экране появилась табличка. «В случае если вы захотите отведать мороженого», – сказала","Будьте практичны. Этот день может помочь мне с диссертацией.  —  Это не проблема, Сара.  Она была настолько поражена, что не сразу нашла.  —  Как же ты так быстро стала такой умной?  Он улыбнулся.  —  Это не новость. Я не слишком много лет проработал в университете, но это не так уж плохо.  —  Почему ты так"
6,"Благоприятный день. Если вы проявите инициативу и инициативу в том, чтобы добиться того, что вам хочется, то это будет выглядеть по-другому, но это будет настоящим. Вы сможете достичь этого, даже если вы не хотите этого делать.   Если вы хотите добиться успеха в чем-то одном, то нужно использовать во всем свою инициативу, – прежде всего ваше желание добиться того, чтобы добиться успеха.   Важно понимать, что","Благоприятный день. Если вы проявите инициативу и дадите мне совет, то я сделаю все возможное, чтобы помочь вам.  — Я верю в вашу честность.  — По правде говоря, я давно и тщательно изучил ваше поведение, — сказал он. — Вы не любите меня и не верите в мою доброту.  Он хотел вызвать в ней отвращение, но она решительно покачала головой.  — Не нужно"
7,"Благоприятный день. Если вы проявите инициативу и поймете, что помочь вам – значит проявить терпение и терпение, то вы справитесь с тем, что вы хотите, но с большим трудом.  Если вы чувствуете себя виноватым в том, что не можете помочь людям, то ищите другой способ.   * * *  Если вы не можете помочь людям, то старайтесь думать о чем-то другом.  ","Благоприятный день. Если вы проявите инициативу и начнете делать то, что я вам говорю, то увидите, что я действительно могу это сделать и что я действительно его поддержу. Я не собираюсь уволить его. Если вы будете продолжать выполнять мои указания или делать то, что я вам сказал, то сможете получить повышение по службе быстрее, чем раньше.  Если я смогу заставить вас себя выслушать и дать ей повод, если вы будете"
8,"Благоприятный день. Если вы проявите инициативу и поддержку, вы будете счастливы.   Все недостатки   Недостаток пессимизма   Нежелание оптимизма   Вы должны постоянно думать о том, что у вас есть недостатки. Нежелание оптимизма   Нежелание оптимизма   Вы должны постоянно думать о том, что у вас есть недостатки.","Благоприятный день. Если вы проявите инициативу в этом деле, то вам и в самом деле будет оказано содействие, так как вы не будете болеть.   Как выздороветь   Если вы чувствуете, что вы нездоровы, то вы можете обратиться к врачу, чтобы он дал вам совет или посоветовал, как избежать болезни и как следует ухаживать за больными. Во многих случаях лечение может быть"
9,"Ради достижения поставленных целей вы готовы на это пойти?  —  Я должен был бы знать, что вы сейчас подумаете…  —  Очень мудрый совет.  —  Вы не хотите сказать мне, что у вас большие планы на будущее?  —  Не обязательно.  —  А что касается будущего, то я хочу вас попросить о сотрудничестве.  —  Правда?  —  Не сомне","Ради достижения поставленных целей вы готовы?  —  Да, я готова, — призналась Норма. — И не сомневайтесь, я не сделаю этого.  —  Хорошо, я поговорю с вами.  —  Конечно, я вас слушаю.  —  Не говорите никому о вашем разговоре с Лесли.  —  Но я же уже его слышала.  —  Хорошо, я передам ему это сообщение. "
10,"Ради достижения поставленных целей вы готовы пойти на уступки.  –  Что ж, я готов согласиться с тем, что она не будет давать отпор и не будет делать попыток навредить вам, и что она намерена пойти на уступки.  –  Может, она и не хочет, чтобы вы разрушали ее планы, но это не значит, что она не может ни за что их разрушить.  –  Не","Ради достижения поставленных целей вы готовы сражаться?  –  Хорошо. Наш фронт состоит из двух частей: одна будет сражаться с врагом, другая – с захватчиками.  –  Тогда мы должны объединить усилия и объединить войска, чтобы достичь победы!  –  Верно!  –  А теперь скажите, где вы были в эти дни?  –  В деревне Карл-Марк. "
11,"Ради достижения поставленных целей вы готовы к тому, чтобы после того, как вы возьмете ответственность на себя, потребовать чего-то от ваших подчиненных?  •  Чем скорее вы начнете принимать решения, тем быстрее вы справитесь с этими задачами и в том числе с задачами по самообразованию.  •  Начните с того, чтобы определиться, что вы хотите сделать:  •  Вы","Ради достижения поставленных целей вы готовы отказаться от награды, — ответил он.  — А как же вы? — спросил я с любопытством. — Вы не боитесь, что вы попадете в амнистию?  — Я не допущу.  — А почему вы не хотите лично убедиться в том, что ничего не боитесь?  — Я не могу пойти к самим дьяволу. "
12,"День пройдет не совсем так, как вы ожидали, но огорчаться не стоит, так как вы уже с ним познакомились.  —  Я не знал, что у вас бывают гости.  —  Не сегодня, — ответил Харальд таким тоном, будто он уже не сомневается, что она вернется к своему концу.  Он сделал движение, будто хотел обнять девушку, и она его не поддержала.  —  Харальд, — сказала она, — не сердись","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит. Попытайтесь дать мне возможность немного отдохнуть во время сеанса.  —  Я бы не стала этого делать.  —  Да ладно вам, не расстраивайтесь. Мне это необходимо сделать!  Она вскочила и направилась в ванную. Она была такой же самоуверенной, как в тот вечер, когда он впервые поцеловал ее. Он был так слаб, что был не"
13,"День пройдет не совсем так, как вы ожидали, но огорчаться не о чем, — продолжал он, — потому что я уверен, что она не откажется от вас. Она не избежит ваших объятий и поцелуев, она не забудет обо всем, что вы для нее сделали. Но вы не можете этого сделать. Вы не можете не понимать, что она — ребенок, что она не умеет любить, не умеет любить.  — Это правда? — очень тихо спросила Мар","День пройдет не совсем так, как вы ожидали, но огорчаться я не буду, и не потому, что не привыкла вот так вот просто к своему поражению, а потому, что не люблю, когда меня «запирают в комнате» и не дают возможности самому что-то сделать.  Для меня же самое страшное было то, что я не могла просто сказать «да». Я не могла просто не сказать «да»! Я не могла просто сказать"
14,"День пройдет не совсем так, как вы ожидали, но огорчаться не буду, мне казалось, что вы только что застали меня врасплох.  —  Я не знала, что у вас с мужем такая связь.  —  Я думал, вы не знаете. Я был уверен, что вы не хотели выходить за него замуж.  —  Не понимаю.  —  Вы имеете в виду то, что я был им ужасно нежен?  —  Нет, —","День пройдет не совсем так, как вы ожидали, но огорчаться не стоило.  –  Да, но это только потому, что было бы неправильно – не делать этого, – не согласился Арлин.  –  Это не совсем правильное решение, – снова вмешалась Кейт. – Вы же понимаете, что я хочу, чтобы вы были искренни с нами, и не хотели бы сделать из этого трагедию.  –  Вы хотите сказать, что верите в это? – уточнил"
15,"Вы многого добьетесь, если не станете меня убеждать, что это была не я.  —  Вы думаете, что это была я?  —  Ну вы даете, сами же говорите!  —  Но вы сказали…  —  Не пришлось прибегать к этому средству: это был кто-то другой.  —  Кто?  —  Не знаю. Я не знаю. Но вы пришли к какому-то","Вы многого добьетесь, если не станете отвечать за свои поступки.  – Вы не можете меня шантажировать, – произнес он с раздражением.  – Все будет в порядке, если ты пообещаешь не совершать таких поступков.  – Обещаю, – сказал он с достоинством. – Но я не собираюсь шантажировать, просто хочу быть уверенным, что моя работа не будет поставлена под удар. "
16,"Вы многого добьетесь, если не станете обращаться с ним, как с старым знакомым и хотите как можно скорее вернуться в Англию.  —  Вы сделаете все, что в ваших силах, чтобы заставить его вернуться, — возразила Клаудиа. — Он будет вежливым, но он будет очень упрям, если с ним что-нибудь случится.  —  Никто не знает, как он будет вести себя в нашем доме, а если он хочет вернуться","Вы многого добьетесь, если не станете его останавливать.  —  А вам не кажется, что это безумие?  —  Он не сумасшедший.  —  Он не сумасшедший. Он просто не может…  —  Не может!  —  А вы не скажете, где находится его дом?  —  Не знаю. Он не имеет к нему никакого отношения. Но я не могу его игнорировать. Ведь"
17,"Вы многого добьетесь, если не станете стоять и смотреть на меня как на отступника.  –  Это вы так думаете, но ведь не все так просто на этом свете.  –  В любом случае не стоит тратить время и силы на то, чтобы выглядеть благородным, – спокойно ответила она. – Я уже не говорю о том, что в нашем обществе не принято браться за пистолет до того, как вы представите доказатель","Вы многого добьетесь, если не станете немедленно разносить эту ересь по всему свету.  –  Она не ересь, а просто болтовня сумасшедших! – крикнул Анджело. – Это не то слово, о котором вы думаете!  –  Я не сумасшедший, – сказал я ему в лицо. – Я просто служу в экспедиции и не собираюсь ничего вытворять.  И я снова велел"
18,"День может принести на время в свою комнату! Я буду очень вам признательна, если вы не станете задерживаться в столь позднее время.  Крошка Энн шла за ним по пятам, чтобы не отстать. Она могла бы поклясться, что сейчас ей хотелось плакать и плакать, но вместо этого она улыбалась от удовольствия, а потом улыбнулась. Она действительно была очень довольна тем, что проведет с ним","День может принести надраться, то я просто не смогу.  —  Ясно. И не пытайтесь меня удерживать, — добавил он и с сожалением посмотрел на меня. — Я устал. И у меня есть идея получше.  —  Какая? — спросила я.  —  Как можно быстрее переправить вашу одежду в контору Ллойда.  —  Вы хотите сказать… то есть я имею в виду…"
19,"День может принести его обратно. А если он не хочет помогать?  —  А если он не хочет помогать? — настойчиво повторил Коире. — Что тогда?  —  Тогда он будет сопротивляться с помощью силы, — сказал Хамацура. — Но он вряд ли сможет ее использовать. Он может ее просто не почувствовать — слишком ее много.  —  А если он хочет помочь","День может принести это у меня   .   * * *  В этом году мы с Наталитой уезжаем в Израиль, и в Израиле у нее начинается новая жизнь. Это не было похоже на поездку в Париж, но в то же время как-то само собой получилось. Она подвигла меня на этот прорыв и сделала это так, как хотела. Я очень"
20,"День может принести вы сказать мне то, что вы хотели бы сказать мне, потому что вы же видите в этом удовольствие.  –  Я думаю, вы можете сказать мне не только то, что вы хотели бы сказать мне.  –  А что вы это имели в виду, говоря о том, что вы хотели бы сказать мне?  –  Я не знаю, как это сказать. Вы не можете знать, что это","День может принести не смотреть на него.  –  Но я не смогу ее видеть, она в таком состоянии, что не сможет даже плакать.  –  Она в обмороке.  –  Она в обмороке от слез.  –  Тогда что, мисс?  –  Вы не можете видеть, как она плачет.  –  Я хочу ее видеть.  –  Я не хочу ее видеть."
21,"Благоприятный день для общения. Вы отлично знаете, что я не заменил бы Эми. Это не то, что она могла бы делать с тех пор, как все это началось. Я не мог бы даже пожелать ей спокойной ночи. Пожалуйста, не делайте этого, умоляю вас.  – Хорошо, я обещаю.  – И еще я обещаю, что больше не буду говорить с ней о вашем будущем.  – Обещаете? ","Благоприятный день для общения. Вы отлично справляетесь со своим делом.  Дед с уважением возразил:  —  Ну, может быть, вы ошибаетесь, но мне кажется, это не совсем так.  Он вновь наполнил стаканы, на этот раз чокнулся и вскоре с улыбкой спросил:  —  Жаль, что вы не смогли приехать ко мне в Москву. Там у нас все по-другому.  —  Почему вы так"
22,"Благоприятный день для общения. Вы отлично справляетесь и с этим.  –  Просто замечательно, – ответила я, гордясь тем, что хоть что-то поняла. – Я хочу сразу же перейти к делу. Но это не займет много времени. О чем вы сейчас думаете?  –  О том, как скоро вы уедете.  –  Это было бы замечательно, – ответила я.  Она с удивлением посмотрела на","Благоприятный день для общения. Вы отлично справились. Как вы себя чувствуете?  –  Хорошо. – Кэтрин и Марк начали подниматься по лестнице.  –  Я должен вас поблагодарить. Вы всем мне очень помогли. – Она пожала ему руку.  –  Пожалуйста. – Он проводил ее на кухню. – Я провел немало времени с Элизабет, и мне очень жаль, что я так огорчил вас.  –  Ничего. Вы"
23,"Благоприятный день для общения. Вы отлично знаете, как это бывает. Вы понимаете меня с полуслова. Я всего-навсего женщина. Мне двадцать два года.  Ее голос звучал издалека, но она хорошо знала, что он ее слушает.  –  Да, вы правы, – ответила она еще несколько минут спустя, – но вы знали, да?  –  Я был влюблен в вас.  –  Кто?  –  С вами никогда","Благоприятный день для общения. Вы отлично знаете это.  —  Я не знаком с Нилом.  —  Вы знали их всех?  —  Нет. Встречал и раньше, но не общался.  —  Как долго вы были в той комнате?  —  Я не знаю, но прошло три или четыре дня.  —  Не кажется ли вам, что вы не могли бы рассказать мне о Ни"
24,"Спокойный день, благоприятный и плодотворный. Он подходит для отдыха и восстановления сил.   Овод   Овод — растение семейства зонтичных. Листья белые, крупные, колокольчатые, с мелкими зубчками. Цветки мелкие, темно-зеленые, с красноватыми соцветиями. Листья очень старые. Листья имеют темно-зеленую окраску.  Цветки мелкие, крупные, колокольчатые, с красноватыми соцветиями. Листья","Спокойный день, благоприятный и плодотворный. Он подходит для разных работ по дизайну и дизайнерской работе, но не для того, что нужно для бизнеса. Он подойдет для работы, которая связана с желанием людей работать по-настоящему с ними.   СОВЕТ   Сеть HR-компании в Harvard Scientifics основана на базе бизнес-инженерии и маркетинга и отличается от"
25,"Спокойный день, благоприятный и плодотворный. Он подходит для каждого человека, пришедшего на этот участок.   Регуляция работы сердца   Регуляция работы сердца — это способность человека заботиться о себе.  Мы должны научиться управлять своим внутренним переживанием и действовать через него.  Через это умение мы можем правильно воспринимать и принимать то, что происходит вокруг.  В ответ на это человек испытывает огромное облег","Спокойный день, благоприятный и плодотворный. Он подходит для того, чтобы сделать вас по-настоящему счастливыми, чтобы помочь вам в вашей работе, выполнить самое важное дело, которое вы сейчас делаете, чтобы помочь вам в ваших личных делах.   Глава 3.  Разоблачить обманщика   Прошло несколько недель, и в это время в «Красном лотосе» появились новые клиенты. Их было очень много – все были"
