,0,1
0,"Насыщенный интересный день. За любые дела с его стороны он готов был выложить не малую сумму: в его распоряжении были билеты на любые торжества, а также билеты на каждый вечер в любом театре.  После этого он долго не мог успокоиться,","Насыщенный интересный день. За любые дела их можно было не опасаться.  —  Мы отправимся завтра в четыре утра, — объявил он с надеждой.  —  Хорошо, — ответила я, и мы пошли к воротам.  —  Вы не против"
1,"Насыщенный интересный день. За любые дела он отвечал. Он не строил иллюзий. Он даже не догадывался о том, что именно сейчас его ждет: почти всегда он находил какую-нибудь интересную и не очень удачную тему.  Он не думал, что в","Насыщенный интересный день. За любые дела я плачу.  —  Ты хочешь сказать, что ничего не можешь купить за деньги? — с сомнением спросила она.  —  Я не хочу сказать, что это не так, — сказал он. — Я хочу сказать, что это не"
2,"Насыщенный интересный день. За любые дела можно не отвечать, просто не обращать внимания на то, что происходит вокруг.   Отношения с окружающими   Вы уже знаете, что многие люди ведут себя точно так же, как и вы. Они считают,",Насыщенный интересный день. За любые дела с ней придется платить.  —  А если она не захочет?  —  Тогда придется ее пожалеть.  —  Это не будет проблемой.  —  Я не собираюсь ее пожалеть. 
3,"Будьте практичны. Этот день может помочь вам сосредоточиться на чем-то другом, но не на этом.   Глава 2  День поминовения   Во многих странах мира существует специальный ритуал поминовения усопших. В Швеции это обряд","Будьте практичны. Этот день может стать для вас очень важным в вашей жизни.  Ответы на вопросы  Вы можете ответить на следующие вопросы:  •  Как вы узнали о том, что произошло в прошлом году?  • "
4,Будьте практичны. Этот день может стать для вас хорошим днем для знакомства.   День работы с вами:  •  День вашего труда:  •  День работы с вами.  •  День работы с вами.  • ,"Будьте практичны. Этот день может ознаменоваться очень многими событиями.  –  Да, я знаю.  –  И с ним не должен случиться ничего плохого.  –  Я знаю.  –  Не говори ничего, прежде чем мы не"
5,"Будьте практичны. Этот день может оказаться очень сложным, но я уверен, что он будет удачным.  –  Вы в этом уверены, майор?  –  Очень уверен.  –  Вы верите в то, что с помощью этого способа можно изменить","Будьте практичны. Этот день может быть последним.  –  Я знаю.  –  И я тоже, – сказал он и обхватил ее за шею. – Я знаю.  –  Я знаю, – сказала она.  Он поцеловал ее в губы, и"
6,"Благоприятный день. Если вы проявите инициативу и продолжите работать в том же духе, то вскоре поймете, что это невозможно.  –  Хорошо. Я не хочу становиться сегодня одной из вас.  –  Вы не станете одной из нас, если будете продолжать работать в","Благоприятный день. Если вы проявите инициативу и решите обосноваться в каком-либо месте, то вскоре получите возможность заняться своими делами.  —  Вы хотите сказать, что я могу рассчитывать на помощь с вашей стороны?  —  Да, если вы попросите"
7,"Благоприятный день. Если вы проявите инициативу и не станете ходить по магазинам с пустыми руками, то не получите ни цента.   * * *  Вы можете быть уверены, что в день вашего дня рождения у вас будет много свободного времени.","Благоприятный день. Если вы проявите инициативу и сумеете убедить ее в том, что для вас важно не только для нее, но и для всего общества, то она сможет быть уверена, что вы совершенно правы, что она действительно будет рада для вас и всегда будет любить"
8,"Благоприятный день. Если вы проявите инициативу и добьетесь результата, то вы сможете посвятить себя любимому делу.  Упражнение:  Сядьте, положите руки на колени и прижмите их к животу. Не бойтесь смотреть на руки, так как","Благоприятный день. Если вы проявите инициативу и поймете, как важно оставить в стороне этот вопрос, вы увидите, что в этом отношении вы гораздо более удачливы, чем в других отношениях.   ПСИХОЛОГИЯ   Если вы будете"
9,"Ради достижения поставленных целей вы готовы к сотрудничеству с нами?  —  Конечно, — прервал его я, — если вы не против.  Он не любил сюрпризы, но я его действительно не любил. Он был человеком с крупными деньгами, а я — с малень","Ради достижения поставленных целей вы готовы идти на уступки?»  –  Да, сэр, – кивнул я. – Я не мог этого сделать.  –  Вы понимаете, что это не так?  –  Да, сэр.  –  Вы не понимаете, что это"
